"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"21","21","75","Anna Inotsume","Am","19","46:35.099",2795099,"2:16.356",136356,"86.333","18","19.963","0.266","0","15","62.130","0","2:08.116","Anna","Inotsume","2:16.901",136901,"","48.492",48492,"50.863",50863,"36.975",36975,"Anna","Inotsume","","218366","GR Cup","Toyota GR86","Hattori Motorsports","Toyota Gazoo Racing GR","JAP","","entries:events-2024-sro-vir:uTlE3DSiYbTiycOsWKj_3","entries:events-2024-sro-vir:uTlE3DSiYbTiycOsWKj_3","12969501","",15,"-6 (15 → 21)","-6"
"22","22","3","Jason Kos","Am","19","46:42.823",2802823,"2:18.293",138293,"85.124","17","27.687","7.724","0","30","62.130","0","2:10.868","Jason","Kos","2:18.398",138398,"","49.214",49214,"51.438",51438,"37.382",37382,"Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","",30,"8 (30 → 22)","8"
"23","23","61","James Klimas","Am","19","46:43.958",2803958,"2:19.108",139108,"84.625","18","28.822","1.135","0","31","62.130","0","2:14.608","James","Klimas","2:19.365",139365,"","49.149",49149,"51.845",51845,"37.886",37886,"James","Klimas","","219118","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:RAurHi74SRC10Gi4mAO7e","entries:events-2024-sro-vir:RAurHi74SRC10Gi4mAO7e","12079696","",31,"8 (31 → 23)","8"
"24","24","30","Jackson Tovo","Am","19","46:44.374",2804374,"2:18.986",138986,"84.699","19","29.238","0.416","0","29","62.130","0","2:10.664","Jackson","Tovo","2:19.114",139114,"","49.039",49039,"51.627",51627,"37.432",37432,"Jackson","Tovo","","218679","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:bg_noPF_PFNUtTExlxd4J","entries:events-2024-sro-vir:bg_noPF_PFNUtTExlxd4J","15606700","",29,"5 (29 → 24)","5"
"25","25","24","Jade Avedisian","Am","19","46:54.990",2814990,"2:16.494",136494,"86.246","19","39.854","10.616","0","18","62.130","0","2:08.224","Jade","Avedisian","2:16.636",136636,"1","48.154",48154,"50.016",50016,"36.841",36841,"Jade","Avedisian","","219104","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:2olLUj0hxgnpwFdcUggOM","entries:events-2024-sro-vir:2olLUj0hxgnpwFdcUggOM","10544198","",18,"-7 (18 → 25)","-7"
"26","26","25","Alfonso Diaz","Am","19","47:12.887",2832887,"2:15.578",135578,"86.828","14","57.751","17.897","0","26","62.130","0","2:09.108","Alfonso","Diaz","2:15.923",135923,"","48.032",48032,"50.075",50075,"36.972",36972,"Alfonso","Diaz","","219082","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","PRI","","entries:events-2024-sro-vir:BYFF-JWfhxuW3CYeHMtbP","entries:events-2024-sro-vir:BYFF-JWfhxuW3CYeHMtbP","13583245","",26,"0 (26 → 26)","0"
"27","27","31","Luke Rumburg","Am","18","46:50.403",2810403,"2:14.315",134315,"87.645","18","1 Lap","1 Lap","0","11","58.860","0","2:07.852","Luke","Rumburg","2:15.334",135334,"2","47.992",47992,"49.844",49844,"36.479",36479,"Luke","Rumburg","","218701","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:KlV_Tp1C8xel0a8RDjYd9","entries:events-2024-sro-vir:KlV_Tp1C8xel0a8RDjYd9","16199534","",11,"-16 (11 → 27)","-16"
"28","28","21","Ford Koch","Am","17","46:17.193",2777193,"2:12.993",132993,"88.516","16","2 Laps","1 Lap","0","10","55.590","0","2:07.697","Ford","Koch","2:13.335",133335,"2","47.054",47054,"49.528",49528,"36.196",36196,"Ford","Koch","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:AOE8Qn_0USzVEp5Qcw7YB","entries:events-2024-sro-vir:AOE8Qn_0USzVEp5Qcw7YB","10837109","",10,"-18 (10 → 28)","-18"
"29","29","14","Alex Garcia","Am","13","31:36.888",1896888,"2:15.910",135910,"86.616","12","6 Laps","4 Laps","0","24","42.510","0","2:09.081","Alex","Garcia","2:17.048",137048,"","48.617",48617,"50.228",50228,"37.065",37065,"Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:zC7D5Toaux33Xw684odHP","entries:events-2024-sro-vir:zC7D5Toaux33Xw684odHP","15057570","",24,"-5 (24 → 29)","-5"
"30","30","88","Henry Drury","Am","10","24:29.903",1469903,"2:16.458",136458,"86.268","10","9 Laps","3 Laps","0","16","32.700","0","2:08.146","Henry","Drury","2:17.009",137009,"","48.870",48870,"49.941",49941,"37.247",37247,"Henry","Drury","","219218","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing GR","GBR","","entries:events-2024-sro-vir:78vPYEO6O9U07a1EiMlF4","entries:events-2024-sro-vir:78vPYEO6O9U07a1EiMlF4","13339178","",16,"-14 (16 → 30)","-14"
"","","10","Ethan Tovo","Am","8","20:48.218",1248218,"2:21.432",141432,"83.234","3","11 Laps","2 Laps","0","21","26.160","0","2:08.556","Ethan","Tovo","2:22.395",142395,"","50.743",50743,"52.495",52495,"37.957",37957,"Ethan","Tovo","","218391","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:Q-cfLVi8D2s6YnjC_tMhg","entries:events-2024-sro-vir:Q-cfLVi8D2s6YnjC_tMhg","16618605","",,"","NaN"
"","","47","Ethan Goulart","Am","7","17:29.095",1049095,"2:17.245",137245,"85.774","5","12 Laps","1 Lap","0","3","22.890","0","2:06.926","Ethan","Goulart","2:17.571",137571,"","49.018",49018,"50.513",50513,"37.186",37186,"Ethan","Goulart","","219186","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:ashfGXJ2Ko3xInSvUWgSo","entries:events-2024-sro-vir:ashfGXJ2Ko3xInSvUWgSo","11286329","",,"","NaN"
"","","22","Devin Anderson","Am","","","","","","-","0","","","0","32","-","0","","Devin","Anderson","","","","","","","","","","Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:GMMQuTrvHGw6_N-kBXSMk","entries:events-2024-sro-vir:GMMQuTrvHGw6_N-kBXSMk","11308725","",,"","NaN"
