"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"11","11","44","Aidan Yoder","Am","18","46:34.381",2794381,"2:27.877",147877,"91.049","8","10.964","0.140","0","15","67.320","0","2:26.285","Aidan","Yoder","2:27.962",147962,"","43.794",43794,"51.117",51117,"52.140",52140,"Aidan","Yoder","","219270","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:LgXFxDSRNG8QvboefvozC","entries:events-2024-sro-sebring:LgXFxDSRNG8QvboefvozC","14864382","",15,"4 (15 → 11)","4"
"12","12","39","Maximilian Hewitt","Am","18","46:36.074",2796074,"2:28.065",148065,"90.933","4","12.657","1.693","0","21","67.320","0","2:26.802","Maximilian","Hewitt","2:28.233",148233,"","44.014",44014,"51.180",51180,"52.621",52621,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:hMgPZB-4SI4mQhRUV4aNS","entries:events-2024-sro-sebring:hMgPZB-4SI4mQhRUV4aNS","13778007","",21,"9 (21 → 12)","9"
"13","13","51","Adam Brickley","Am","18","46:36.453",2796453,"2:26.739",146739,"91.755","2","13.036","0.379","0","5","67.320","0","2:24.929","Adam","Brickley","2:26.831",146831,"","43.615",43615,"50.712",50712,"52.042",52042,"Adam","Brickley","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:x34apgq3zfQyRfvYkuj2t","entries:events-2024-sro-sebring:x34apgq3zfQyRfvYkuj2t","12714404","",5,"-8 (5 → 13)","-8"
"14","14","50","Casey Mashore","Am","18","46:39.445",2799445,"2:28.180",148180,"90.862","7","16.028","2.992","0","20","67.320","0","2:26.526","Casey","Mashore","2:28.513",148513,"","43.628",43628,"51.387",51387,"52.551",52551,"Casey","Mashore","","219242","GR Cup","Toyota GR86","Mashore Autobody","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:vQaoKNdNipKj8ghZ8wD4B","entries:events-2024-sro-sebring:vQaoKNdNipKj8ghZ8wD4B","10127188","",20,"6 (20 → 14)","6"
"15","15","80","Tyler Wettengel","Am","18","46:39.696",2799696,"2:28.261",148261,"90.813","3","16.279","0.251","0","16","67.320","0","2:26.321","Tyler","Wettengel","2:28.427",148427,"","43.858",43858,"51.403",51403,"52.652",52652,"Tyler","Wettengel","","219101","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:PYQ9SeyxGMpNqY3HZnWAS","entries:events-2024-sro-sebring:PYQ9SeyxGMpNqY3HZnWAS","15012542","",16,"1 (16 → 15)","1"
"16","16","21","Ford Koch","Am","18","46:40.243",2800243,"2:27.778",147778,"91.110","4","16.826","0.547","0","26","67.320","0","","Ford","Koch","2:28.139",148139,"","43.963",43963,"51.152",51152,"52.336",52336,"Ford","Koch","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:7TRb1LITPMb5ypdSlAJi0","entries:events-2024-sro-sebring:7TRb1LITPMb5ypdSlAJi0","10837109","",26,"10 (26 → 16)","10"
"17","17","22","Devin Anderson","Am","18","46:42.436",2802436,"2:27.281",147281,"91.417","3","19.019","2.193","0","23","67.320","0","2:27.326","Devin","Anderson","2:27.774",147774,"1","43.753",43753,"51.093",51093,"52.226",52226,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:FU95MJSqdsAg1D_ORQ35O","entries:events-2024-sro-sebring:FU95MJSqdsAg1D_ORQ35O","11308725","",23,"6 (23 → 17)","6"
"18","18","11","Farran Davis","Am","18","46:43.484",2803484,"2:28.602",148602,"90.604","7","20.067","1.048","0","22","67.320","0","2:26.824","Farran","Davis","2:28.629",148629,"","43.997",43997,"51.409",51409,"52.640",52640,"Farran","Davis","","219268","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:BGmKsCB5CgaREKiYblhkk","entries:events-2024-sro-sebring:BGmKsCB5CgaREKiYblhkk","10741809","",22,"4 (22 → 18)","4"
"19","19","61","James Klimas","Am","18","46:47.026",2807026,"2:29.589",149589,"90.007","17","23.609","3.542","0","24","67.320","0","2:27.969","James","Klimas","2:29.895",149895,"","44.405",44405,"51.728",51728,"53.121",53121,"James","Klimas","","219118","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:mdvv2AvyIndmXMlEP8mOJ","entries:events-2024-sro-sebring:mdvv2AvyIndmXMlEP8mOJ","12079696","",24,"5 (24 → 19)","5"
"20","20","25","Alfonso Diaz","Am","18","46:49.349",2809349,"2:29.432",149432,"90.101","7","25.932","2.323","0","25","67.320","0","2:28.263","Alfonso","Diaz","2:30.001",150001,"","44.119",44119,"51.834",51834,"53.384",53384,"Alfonso","Diaz","","219082","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","PRI","","entries:events-2024-sro-sebring:4E_gC4bNpOgZ_zAAS6_7F","entries:events-2024-sro-sebring:4E_gC4bNpOgZ_zAAS6_7F","13583245","",25,"5 (25 → 20)","5"
"21","21","34","Braydon Arthur","Am","18","47:24.881",2844881,"2:27.857",147857,"91.061","6","1:01.464","35.532","0","14","67.320","0","2:26.249","Braydon","Arthur","2:28.449",148449,"","43.881",43881,"51.440",51440,"52.454",52454,"Braydon","Arthur","","219195","GR Cup","Toyota GR86","JMF Motorsports","Toyota Gazoo Racing","CAN","","entries:events-2024-sro-sebring:3Bd22e3KL9vyO5rO7WdR7","entries:events-2024-sro-sebring:3Bd22e3KL9vyO5rO7WdR7","15222059","",14,"-7 (14 → 21)","-7"
"22","22","09","Maddie Aust","Am","16","41:46.779",2506779,"2:28.531",148531,"90.648","4","2 Laps","2 Laps","0","12","59.840","0","2:26.100","Maddie","Aust","2:29.046",149046,"","44.276",44276,"51.393",51393,"52.727",52727,"Maddie","Aust","","218788","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px","entries:events-2024-sro-sebring:Jrr2UDwJ-VgsQWe7l61px","14061566","",12,"-10 (12 → 22)","-10"
"23","23","43","Alexandra Hainer","Am","11","29:38.684",1778684,"2:28.314",148314,"90.780","4","7 Laps","5 Laps","0","18","41.140","0","2:26.447","Alexandra","Hainer","2:28.320",148320,"1","44.067",44067,"51.478",51478,"52.458",52458,"Alexandra","Hainer","","219199","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:wQJ5BfsdD5aBPLhSy7VsL","entries:events-2024-sro-sebring:wQJ5BfsdD5aBPLhSy7VsL","11358964","",18,"-5 (18 → 23)","-5"
"24","24","88","Henry Drury","Am","11","29:42.060",1782060,"2:27.486",147486,"91.290","4","7 Laps","3.376","0","11","41.140","0","2:25.649","Henry","Drury","2:27.604",147604,"1","43.725",43725,"51.293",51293,"52.347",52347,"Henry","Drury","","219218","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing","GBR","","entries:events-2024-sro-sebring:jcIzxgkctzxyyieZEktS3","entries:events-2024-sro-sebring:jcIzxgkctzxyyieZEktS3","13339178","",11,"-13 (11 → 24)","-13"
"25","25","24","Jade Avedisian","Am","10","24:54.690",1494690,"2:27.229",147229,"91.449","5","8 Laps","1 Lap","0","10","37.400","0","2:25.450","Jade","Avedisian","2:28.016",148016,"","43.974",43974,"50.997",50997,"52.216",52216,"Jade","Avedisian","","219104","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:JwPpSCLGYFDuSW-K5cF3C","entries:events-2024-sro-sebring:JwPpSCLGYFDuSW-K5cF3C","10544198","",10,"-15 (10 → 25)","-15"
"","","77","William Lambros","Am","3","8:13.855",493855,"2:33.052",153052,"87.970","2","15 Laps","7 Laps","0","17","11.220","0","2:26.379","William","Lambros","2:34.953",154953,"1","45.259",45259,"52.967",52967,"54.235",54235,"William","Lambros","","219145","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:dD-ia3Ud6l-NaZ8tab-FK","entries:events-2024-sro-sebring:dD-ia3Ud6l-NaZ8tab-FK","15422081","",,"","NaN"
"DNS","DNS","15","Bennett Muldoon","Am","","","","","","-","0","DNS","","0","27","-","0","","Bennett","Muldoon","","","","","","","","","","Bennett","Muldoon","","219284","GR Cup","Toyota GR86","Bennett Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:yKzwd5mwlsHN-0y7nEzub","entries:events-2024-sro-sebring:yKzwd5mwlsHN-0y7nEzub","11530888","",,"","NaN"
"DNS","DNS","31","Luke Rumburg","Am","","","","","","-","0","DNS","","0","28","-","0","","Luke","Rumburg","","","","","","","","","","Luke","Rumburg","","218701","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sebring:Vvn2jHBuOCuMP6Fyqu7ub","entries:events-2024-sro-sebring:Vvn2jHBuOCuMP6Fyqu7ub","10783842","",,"","NaN"
