"Pos","PIC","#","Name","Class","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","2nd Best Time","2nd Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"12","12","76","Steven Clemons","Am","1:53.042",113042,"79.776","3","1.520","0.062","0","1:53.236",113236,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:CM3cEGJUuqgNQU9qV2Z9H","entries:events-2024-sro-sonoma:CM3cEGJUuqgNQU9qV2Z9H","13032211","",12,"0 (12 → 12)",""
"13","13","34","Braydon Arthur","Am","1:53.123",113123,"79.719","6","1.601","0.081","0","1:53.813",113813,"Braydon","Arthur","","219195","GR Cup","Toyota GR86","JMF Motorsports","Toyota Gazoo Racing","CAN","","entries:events-2024-sro-sonoma:Ab4n6sPvrM3cvvgdu-YCH","entries:events-2024-sro-sonoma:Ab4n6sPvrM3cvvgdu-YCH","15222059","",13,"0 (13 → 13)",""
"14","14","24","Jade Avedisian","Am","1:53.294",113294,"79.598","8","1.772","0.171","0","1:53.557",113557,"Jade","Avedisian","","219104","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:AvKgAMG522yRRiHbB7bQp","entries:events-2024-sro-sonoma:AvKgAMG522yRRiHbB7bQp","10544198","",14,"0 (14 → 14)",""
"15","15","50","Casey Mashore","Am","1:53.533",113533,"79.431","6","2.011","0.239","0","1:53.823",113823,"Casey","Mashore","","219242","GR Cup","Toyota GR86","Mashore Autobody","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:jXAGJ3mJteaTD55tSNGob","entries:events-2024-sro-sonoma:jXAGJ3mJteaTD55tSNGob","10127188","",15,"0 (15 → 15)",""
"16","16","15","Bennett Muldoon","Am","1:53.665",113665,"79.338","5","2.143","0.132","0","1:54.636",114636,"Bennett","Muldoon","","219284","GR Cup","Toyota GR86","Bennett Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:ImMqylyZQbsvnMnPCpK61","entries:events-2024-sro-sonoma:ImMqylyZQbsvnMnPCpK61","11530888","",16,"0 (16 → 16)",""
"17","17","14","Alex Garcia","Am","1:53.765",113765,"79.269","6","2.243","0.100","0","1:54.249",114249,"Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:IHkJkBZHrqEZsDgjYA8rX","entries:events-2024-sro-sonoma:IHkJkBZHrqEZsDgjYA8rX","15057570","",17,"0 (17 → 17)",""
"18","18","7","Spencer Bucknam","Am","1:53.800",113800,"79.244","6","2.278","0.035","0","1:54.271",114271,"Spencer","Bucknam","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:uVdnKhpy227Y-HXgs8KFn","entries:events-2024-sro-sonoma:uVdnKhpy227Y-HXgs8KFn","13334705","",18,"0 (18 → 18)",""
"19","19","21","Ford Koch","Am","1:53.886",113886,"79.184","8","2.364","0.086","0","1:55.080",115080,"Ford","Koch","","219102","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:qpzMfgBsWcT0lHbaGmUZO","entries:events-2024-sro-sonoma:qpzMfgBsWcT0lHbaGmUZO","10837109","",19,"0 (19 → 19)",""
"20","20","22","Devin Anderson","Am","1:53.918",113918,"79.162","7","2.396","0.032","0","1:55.194",115194,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:kQ7gYErub8yPlNcNT70q7","entries:events-2024-sro-sonoma:kQ7gYErub8yPlNcNT70q7","11308725","",20,"0 (20 → 20)",""
"21","21","88","Henry Drury","Am","1:54.130",114130,"79.015","7","2.608","0.212","0","1:54.779",114779,"Henry","Drury","","219218","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing","GBR","","entries:events-2024-sro-sonoma:OcAynNsFV6Oy_Gsdp9UP7","entries:events-2024-sro-sonoma:OcAynNsFV6Oy_Gsdp9UP7","13339178","",21,"0 (21 → 21)",""
"22","22","25","Alfonso Diaz","Am","1:54.322",114322,"78.882","8","2.800","0.192","0","1:54.931",114931,"Alfonso","Diaz","","219082","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","PRI","","entries:events-2024-sro-sonoma:b8xr8nRiIOdsIVhPnwZDg","entries:events-2024-sro-sonoma:b8xr8nRiIOdsIVhPnwZDg","13583245","",22,"0 (22 → 22)",""
"23","23","09","Maddie Aust","Am","1:54.591",114591,"78.697","6","3.069","0.269","0","1:55.260",115260,"Maddie","Aust","","218393","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:q49my_GvRXyEAReaYhPPF","entries:events-2024-sro-sonoma:q49my_GvRXyEAReaYhPPF","14061566","",23,"0 (23 → 23)",""
"24","24","77","William Lambros","Am","1:54.637",114637,"78.666","6","3.115","0.046","0","1:54.745",114745,"William","Lambros","","219145","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:oQGjSuVGUVka8EMSR6VNv","entries:events-2024-sro-sonoma:oQGjSuVGUVka8EMSR6VNv","15422081","",24,"0 (24 → 24)",""
"25","25","43","Alexandra Hainer","Am","1:54.656",114656,"78.653","7","3.134","0.019","0","1:56.576",116576,"Alexandra","Hainer","","219199","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:U9-IOvqE7zzNVnIT3vR6G","entries:events-2024-sro-sonoma:U9-IOvqE7zzNVnIT3vR6G","11358964","",25,"0 (25 → 25)",""
"26","26","11","Farran Davis","Am","1:55.622",115622,"77.996","6","4.100","0.966","0","1:56.535",116535,"Farran","Davis","","219268","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:-EYJ7oJHT6CdyLRRCsy2Y","entries:events-2024-sro-sonoma:-EYJ7oJHT6CdyLRRCsy2Y","10741809","",26,"0 (26 → 26)",""
"27","27","31","Luke Rumburg","Am","1:56.708",116708,"77.270","8","5.186","1.086","0","1:57.052",117052,"Luke","Rumburg","","218701","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:2L_6sanILyVTNz_WN-oFj","entries:events-2024-sro-sonoma:2L_6sanILyVTNz_WN-oFj","10783842","",27,"0 (27 → 27)",""
"28","28","3","Jason Kos","Am","1:57.190",117190,"76.952","8","5.668","0.482","0","1:57.405",117405,"Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","",28,"0 (28 → 28)",""
"29","29","61","James Klimas","Am","1:59.633",119633,"75.381","7","8.111","2.443","0","1:59.994",119994,"James","Klimas","","219118","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:hD02HmcV0ooO64ILzCoGn","entries:events-2024-sro-sonoma:hD02HmcV0ooO64ILzCoGn","12079696","",29,"0 (29 → 29)",""
