"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"24","24","14","Alex Garcia","Am","5","12:04.033",724033,"2:09.081",129081,"91.199","2","2.322","0.201","0","7","16.350","0","","Alex","Garcia","2:10.748",130748,"1","45.184",45184,"48.619",48619,"34.647",34647,"Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:zC7D5Toaux33Xw684odHP","entries:events-2024-sro-vir:zC7D5Toaux33Xw684odHP","15057570","",7,"-17 (7 → 24)","-17"
"25","25","77","William Lambros","Am","5","12:05.394",725394,"2:09.095",129095,"91.189","2","2.336","0.014","0","30","16.350","0","","William","Lambros","2:09.219",129219,"1","45.679",45679,"48.401",48401,"34.854",34854,"William","Lambros","","219145","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:mpdUvkRNVQNjtCtmyuYpP","entries:events-2024-sro-vir:mpdUvkRNVQNjtCtmyuYpP","15422081","",30,"5 (30 → 25)","5"
"26","26","25","Alfonso Diaz","Am","6","13:41.973",821973,"2:09.108",129108,"91.179","3","2.349","0.013","0","13","19.620","0","","Alfonso","Diaz","2:09.661",129661,"1","45.357",45357,"49.206",49206,"34.829",34829,"Alfonso","Diaz","","219082","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","PRI","","entries:events-2024-sro-vir:BYFF-JWfhxuW3CYeHMtbP","entries:events-2024-sro-vir:BYFF-JWfhxuW3CYeHMtbP","13583245","",13,"-13 (13 → 26)","-13"
"27","27","41","Jenson Sofronas","Am","5","11:12.732",672732,"2:09.230",129230,"91.093","4","2.471","0.122","0","18","16.350","0","","Jenson","Sofronas","2:09.260",129260,"1","45.531",45531,"48.983",48983,"34.686",34686,"Jenson","Sofronas","","218674","GR Cup","Toyota GR86","GMG Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:wlD33L-vAsBHrrN6khIG8","entries:events-2024-sro-vir:wlD33L-vAsBHrrN6khIG8","10934774","",18,"-9 (18 → 27)","-9"
"28","28","15","Bennett Muldoon","Am","5","13:03.302",783302,"2:09.256",129256,"91.075","4","2.497","0.026","0","8","16.350","0","","Bennett","Muldoon","2:10.122",130122,"2","45.486",45486,"48.544",48544,"35.226",35226,"Bennett","Muldoon","","219284","GR Cup","Toyota GR86","Bennett Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:kIUQ-BM-ckhRkHSWbxPZi","entries:events-2024-sro-vir:kIUQ-BM-ckhRkHSWbxPZi","11530888","",8,"-20 (8 → 28)","-20"
"29","29","30","Jackson Tovo","Am","5","11:44.182",704182,"2:10.664",130664,"90.094","5","3.905","1.408","0","14","16.350","0","","Jackson","Tovo","2:11.584",131584,"1","45.910",45910,"49.827",49827,"35.513",35513,"Jackson","Tovo","","218679","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:bg_noPF_PFNUtTExlxd4J","entries:events-2024-sro-vir:bg_noPF_PFNUtTExlxd4J","15606700","",14,"-15 (14 → 29)","-15"
"30","30","3","Jason Kos","Am","4","9:59.044",599044,"2:10.868",130868,"89.953","4","4.109","0.204","0","1","13.080","0","","Jason","Kos","2:11.608",131608,"1","46.083",46083,"49.665",49665,"35.120",35120,"Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","",1,"-29 (1 → 30)","-29"
"31","31","61","James Klimas","Am","6","15:12.124",912124,"2:14.608",134608,"87.454","5","7.849","3.740","0","26","19.620","0","","James","Klimas","2:15.147",135147,"1","46.637",46637,"51.062",51062,"36.712",36712,"James","Klimas","","219118","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:RAurHi74SRC10Gi4mAO7e","entries:events-2024-sro-vir:RAurHi74SRC10Gi4mAO7e","12079696","",26,"-5 (26 → 31)","-5"
"32","32","22","Devin Anderson","Am","5","12:58.883",778883,"","","-","0","","","0","11","16.350","0","","Devin","Anderson","","","2","45.201",45201,"48.901",48901,"34.888",34888,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:GMMQuTrvHGw6_N-kBXSMk","entries:events-2024-sro-vir:GMMQuTrvHGw6_N-kBXSMk","11308725","",11,"-21 (11 → 32)","-21"
"33","33","11","Jack Woodfin","Am","","","","","","-","0","","","0","5","-","0","","Jack","Woodfin","","","","","","","","","","Jack","Woodfin","","219268","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:eOJwd0IBG8OEP13liBioK","entries:events-2024-sro-vir:eOJwd0IBG8OEP13liBioK","10741809","",5,"-28 (5 → 33)","-28"
